x, z_0, z_1, z_2
3.699997, 2.819341, 0.998716, 0.003074
3.709997, 2.829329, 0.998747, 0.002980
3.719997, 2.839316, 0.998776, 0.002888
3.729997, 2.849304, 0.998804, 0.002799
3.739997, 2.859292, 0.998832, 0.002712
3.749997, 2.869281, 0.998859, 0.002627
3.759997, 2.879270, 0.998884, 0.002545
3.769997, 2.889259, 0.998910, 0.002465
3.779997, 2.899248, 0.998934, 0.002387
3.789997, 2.909237, 0.998957, 0.002312
3.799997, 2.919227, 0.998980, 0.002238
3.809997, 2.929217, 0.999002, 0.002167
3.819997, 2.939207, 0.999023, 0.002097
3.829997, 2.949198, 0.999044, 0.002030
3.839997, 2.959188, 0.999064, 0.001964
3.849997, 2.969179, 0.999083, 0.001900
3.859997, 2.979170, 0.999102, 0.001838
3.869997, 2.989161, 0.999120, 0.001778
3.879997, 2.999152, 0.999138, 0.001720
3.889997, 3.009144, 0.999154, 0.001663
3.899997, 3.019135, 0.999171, 0.001608
3.909997, 3.029127, 0.999187, 0.001554
3.919997, 3.039119, 0.999202, 0.001502
3.929997, 3.049111, 0.999217, 0.001452
3.939997, 3.059103, 0.999231, 0.001403
3.949997, 3.069096, 0.999245, 0.001355
3.959997, 3.079088, 0.999258, 0.001309
3.969997, 3.089081, 0.999271, 0.001264
3.979997, 3.099074, 0.999283, 0.001221
3.989997, 3.109067, 0.999295, 0.001179
3.999997, 3.119060, 0.999307, 0.001138
4.009997, 3.129053, 0.999318, 0.001098
4.019997, 3.139046, 0.999329, 0.001059
4.029997, 3.149040, 0.999339, 0.001022
4.039998, 3.159033, 0.999349, 0.000986
4.049998, 3.169027, 0.999359, 0.000951
4.059998, 3.179020, 0.999368, 0.000916
4.069998, 3.189014, 0.999377, 0.000883
4.079998, 3.199008, 0.999386, 0.000851
4.089999, 3.209002, 0.999394, 0.000820
4.099999, 3.218996, 0.999402, 0.000790
4.109999, 3.228990, 0.999410, 0.000761
4.119999, 3.238984, 0.999417, 0.000733
4.130000, 3.248978, 0.999425, 0.000705
4.140000, 3.258972, 0.999432, 0.000679
4.150000, 3.268966, 0.999438, 0.000653
4.160000, 3.278961, 0.999445, 0.000628
4.170001, 3.288955, 0.999451, 0.000604
4.180001, 3.298950, 0.999457, 0.000581
4.190001, 3.308944, 0.999462, 0.000558
4.200001, 3.318939, 0.999468, 0.000536
4.210001, 3.328934, 0.999473, 0.000515
4.220002, 3.338929, 0.999478, 0.000495
4.230002, 3.348923, 0.999483, 0.000475
4.240002, 3.358918, 0.999488, 0.000456
4.250002, 3.368913, 0.999492, 0.000437
4.260003, 3.378908, 0.999496, 0.000419
4.270003, 3.388903, 0.999501, 0.000402
4.280003, 3.398898, 0.999505, 0.000385
4.290003, 3.408893, 0.999508, 0.000369
4.300004, 3.418888, 0.999512, 0.000353
4.310004, 3.428883, 0.999515, 0.000338
4.320004, 3.438879, 0.999519, 0.000323
4.330004, 3.448874, 0.999522, 0.000309
4.340004, 3.458869, 0.999525, 0.000295
4.350005, 3.468864, 0.999528, 0.000282
4.360005, 3.478859, 0.999530, 0.000269
4.370005, 3.488855, 0.999533, 0.000256
4.380005, 3.498850, 0.999536, 0.000244
4.390006, 3.508846, 0.999538, 0.000233
4.400006, 3.518841, 0.999540, 0.000222
4.410006, 3.528836, 0.999542, 0.000211
4.420006, 3.538832, 0.999544, 0.000200
4.430007, 3.548827, 0.999546, 0.000190
4.440007, 3.558823, 0.999548, 0.000180
4.450007, 3.568818, 0.999550, 0.000171
4.460007, 3.578814, 0.999552, 0.000162
4.470007, 3.588809, 0.999553, 0.000153
4.480008, 3.598805, 0.999555, 0.000145
4.490008, 3.608800, 0.999556, 0.000136
4.500008, 3.618796, 0.999557, 0.000129
4.510008, 3.628791, 0.999559, 0.000121
4.520009, 3.638787, 0.999560, 0.000114
4.530009, 3.648782, 0.999561, 0.000107
4.540009, 3.658778, 0.999562, 0.000100
4.550009, 3.668774, 0.999563, 0.000093
4.560009, 3.678770, 0.999564, 0.000087
4.570010, 3.688765, 0.999565, 0.000081
4.580010, 3.698761, 0.999565, 0.000075
4.590010, 3.708757, 0.999566, 0.000069
4.600010, 3.718752, 0.999567, 0.000064
4.610011, 3.728748, 0.999567, 0.000058
4.620011, 3.738744, 0.999568, 0.000053
4.630011, 3.748739, 0.999568, 0.000048
4.640011, 3.758735, 0.999569, 0.000043
4.650012, 3.768731, 0.999569, 0.000039
4.660012, 3.778727, 0.999570, 0.000035
4.670012, 3.788722, 0.999570, 0.000030
4.680012, 3.798718, 0.999570, 0.000026
4.690012, 3.808714, 0.999570, 0.000022
4.700013, 3.818709, 0.999571, 0.000018
4.710013, 3.828705, 0.999571, 0.000015
4.720013, 3.838701, 0.999571, 0.000011
4.730013, 3.848696, 0.999571, 0.000008
4.740014, 3.858692, 0.999571, 0.000005
4.750014, 3.868688, 0.999571, 0.000002
4.760014, 3.878684, 0.999571, -0.000001
4.770014, 3.888679, 0.999571, -0.000004
4.780015, 3.898675, 0.999571, -0.000007
4.790015, 3.908671, 0.999571, -0.000010
4.800015, 3.918666, 0.999571, -0.000012
4.810015, 3.928662, 0.999571, -0.000015
4.820015, 3.938658, 0.999571, -0.000017
4.830016, 3.948653, 0.999570, -0.000019
4.840016, 3.958649, 0.999570, -0.000022
4.850016, 3.968645, 0.999570, -0.000024
